1302.880 1229.560 2014-07-25 00:00:00	 1294.650 2014-07-28 00:00:00 -8.230
1297.530 1241.590 2014-07-30 00:00:00	 1290.030 2014-07-31 00:00:00 -7.500
1258.200 1254.100 2014-08-01 00:00:00	 1263.030 2014-08-04 00:00:00 4.830
1261.850 1262.100 2014-08-05 00:00:00	 1253.330 2014-08-06 00:00:00 -8.520
1234.900 1268.980 2014-08-07 00:00:00	 1239.350 2014-08-08 00:00:00 4.450
1234.200 1270.490 2014-08-11 00:00:00	 1235.880 2014-08-12 00:00:00 1.680
1249.880 1261.840 2014-08-14 00:00:00	 1243.800 2014-08-18 00:00:00 -6.080
1219.250 1252.230 2014-08-19 00:00:00	 1218.100 2014-08-20 00:00:00 -1.150
1216.230 1241.290 2014-08-21 00:00:00	 1232.100 2014-08-22 00:00:00 15.870
1261.030 1239.280 2014-08-25 00:00:00	 1266.900 2014-08-26 00:00:00 5.870
1274.980 1241.190 2014-08-27 00:00:00	 1261.180 2014-08-28 00:00:00 -13.800
1268.580 1245.150 2014-09-01 00:00:00	 1268.950 2014-09-02 00:00:00 0.370
1292.380 1255.470 2014-09-04 00:00:00	 1299.300 2014-09-05 00:00:00 6.920
1321.350 1264.540 2014-09-08 00:00:00	 1315.630 2014-09-09 00:00:00 -5.720
1300.080 1277.280 2014-09-10 00:00:00	 1299.180 2014-09-11 00:00:00 -0.900
1303.800 1288.320 2014-09-12 00:00:00	 1279.150 2014-09-15 00:00:00 -24.650
1275.430 1290.230 2014-09-16 00:00:00	 1295.600 2014-09-17 00:00:00 20.170
1321.150 1295.980 2014-09-18 00:00:00	 1357.100 2014-09-19 00:00:00 35.950
1360.900 1308.880 2014-09-22 00:00:00	 1344.100 2014-09-23 00:00:00 -16.800
1321.500 1313.880 2014-09-24 00:00:00	 1354.300 2014-09-25 00:00:00 32.800
1342.000 1319.280 2014-09-26 00:00:00	 1383.980 2014-09-29 00:00:00 41.980
1368.300 1329.040 2014-09-30 00:00:00	 1387.800 2014-10-01 00:00:00 19.500
1365.680 1339.790 2014-10-07 00:00:00	 1341.600 2014-10-08 00:00:00 -24.080
1353.030 1349.790 2014-10-09 00:00:00	 1339.250 2014-10-10 00:00:00 -13.780
